task_id,team_id,task_deadline,task_status,task_updated_at,task_created_at,team_name,member_id,meeting_attendance_status,meeting.meeting_id,meeting.team_id,student_id
1,5,2024-04-11,pending,2024-09-25 00:00:00,2024-07-09 00:00:00,Team_2,1,absent,17,8,49
2,8,2024-03-09,completed,2024-06-19 00:00:00,2024-06-12 00:00:00,Team_6,85,attended,16,9,44
3,6,2024-01-30,in_progress,2024-03-18 00:00:00,2024-03-03 00:00:00,Team_8,16,attended,2,10,9
4,3,2024-04-20,in_progress,2024-06-03 00:00:00,2024-05-03 00:00:00,Team_10,35,absent,20,4,26
5,10,2024-05-08,pending,2024-03-18 00:00:00,2024-09-10 00:00:00,Team_4,7,attended,2,3,59
6,4,2024-10-21,in_progress,2024-06-04 00:00:00,2024-05-24 00:00:00,Team_10,73,absent,6,3,89
7,6,2024-12-04,pending,2024-05-07 00:00:00,2024-12-06 00:00:00,Team_4,21,absent,14,4,11
8,2,2024-11-02,completed,2024-07-01 00:00:00,2024-01-30 00:00:00,Team_10,58,attended,13,9,79
9,5,2024-12-17,completed,2024-04-21 00:00:00,2024-04-29 00:00:00,Team_1,95,attended,5,2,1
10,8,2024-05-12,pending,2024-02-29 00:00:00,2024-11-01 00:00:00,Team_9,97,attended,14,3,99
11,6,2024-01-19,completed,2024-04-12 00:00:00,2024-03-16 00:00:00,Team_5,31,absent,4,1,41
12,7,2024-09-13,pending,2024-06-24 00:00:00,2024-07-29 00:00:00,Team_8,81,attended,5,3,30
13,4,2024-01-14,completed,2024-01-22 00:00:00,2024-05-27 00:00:00,Team_4,97,attended,18,8,7
14,9,2024-10-28,completed,2024-08-19 00:00:00,2024-05-22 00:00:00,Team_3,40,attended,9,10,32
15,5,2024-05-10,completed,2024-11-23 00:00:00,2024-03-19 00:00:00,Team_4,2,absent,10,1,49
16,1,2024-06-27,completed,2024-03-30 00:00:00,2024-01-17 00:00:00,Team_3,55,absent,9,3,73
17,8,2024-12-13,in_progress,2024-11-02 00:00:00,2024-10-31 00:00:00,Team_5,79,attended,4,5,12
18,3,2024-08-01,in_progress,2024-05-08 00:00:00,2024-09-03 00:00:00,Team_2,10,absent,5,8,4
19,6,2024-03-09,completed,2024-03-21 00:00:00,2024-06-04 00:00:00,Team_2,87,absent,3,10,12
20,3,2024-12-05,pending,2024-01-25 00:00:00,2024-04-14 00:00:00,Team_2,15,absent,9,7,95
21,3,2024-02-12,in_progress,2024-11-02 00:00:00,2024-02-24 00:00:00,Team_7,46,attended,2,10,54
22,8,2024-10-27,in_progress,2024-05-19 00:00:00,2024-08-12 00:00:00,Team_2,30,attended,17,8,67
23,4,2024-10-22,in_progress,2024-09-22 00:00:00,2024-02-25 00:00:00,Team_2,32,absent,1,7,46
24,3,2024-10-04,in_progress,2024-03-09 00:00:00,2024-01-20 00:00:00,Team_2,47,absent,4,9,78
25,5,2024-07-07,completed,2024-01-06 00:00:00,2024-12-31 00:00:00,Team_1,47,absent,17,3,12
26,7,2024-08-02,pending,2024-02-25 00:00:00,2024-11-01 00:00:00,Team_7,74,absent,2,4,85
27,6,2024-01-09,pending,2024-08-14 00:00:00,2024-09-10 00:00:00,Team_2,55,absent,4,7,71
28,6,2024-12-15,completed,2024-07-16 00:00:00,2024-12-26 00:00:00,Team_10,72,attended,16,6,23
29,6,2024-05-10,completed,2024-11-04 00:00:00,2024-11-27 00:00:00,Team_4,49,attended,11,1,49
30,1,2024-05-21,completed,2024-08-07 00:00:00,2024-12-17 00:00:00,Team_7,8,attended,5,7,16
31,5,2024-02-17,in_progress,2024-04-24 00:00:00,2024-12-18 00:00:00,Team_1,53,attended,20,9,80
32,1,2024-04-01,pending,2024-06-12 00:00:00,2024-02-18 00:00:00,Team_4,10,absent,15,4,35
33,1,2024-04-25,in_progress,2024-04-20 00:00:00,2024-10-04 00:00:00,Team_4,89,absent,14,7,72
34,10,2024-06-15,pending,2024-10-19 00:00:00,2024-02-11 00:00:00,Team_1,25,absent,6,10,9
35,3,2024-05-06,completed,2024-01-14 00:00:00,2024-05-22 00:00:00,Team_7,96,attended,2,9,33
36,6,2024-06-01,completed,2024-01-04 00:00:00,2024-09-15 00:00:00,Team_9,12,absent,18,6,12
37,6,2024-09-04,in_progress,2024-09-16 00:00:00,2024-10-24 00:00:00,Team_3,54,absent,6,2,92
38,2,2024-04-24,completed,2024-05-04 00:00:00,2024-07-30 00:00:00,Team_10,22,absent,7,7,46
39,8,2024-11-05,completed,2024-09-05 00:00:00,2024-04-17 00:00:00,Team_3,84,attended,9,1,12
40,5,2024-10-27,completed,2024-04-28 00:00:00,2024-05-22 00:00:00,Team_7,85,attended,10,9,36
41,1,2024-01-13,pending,2024-12-22 00:00:00,2024-12-01 00:00:00,Team_7,80,absent,15,3,10
42,9,2024-01-30,pending,2024-02-04 00:00:00,2024-03-25 00:00:00,Team_9,44,attended,19,9,100
43,7,2024-01-03,in_progress,2024-02-09 00:00:00,2024-03-11 00:00:00,Team_1,48,absent,11,6,84
44,9,2024-03-15,completed,2024-02-25 00:00:00,2024-02-24 00:00:00,Team_2,68,absent,12,2,39
45,1,2024-03-14,in_progress,2024-04-19 00:00:00,2024-05-28 00:00:00,Team_9,22,absent,19,9,96
46,4,2024-04-08,in_progress,2024-02-22 00:00:00,2024-04-07 00:00:00,Team_6,94,attended,9,2,91
47,5,2024-02-10,pending,2024-05-09 00:00:00,2024-02-07 00:00:00,Team_6,42,attended,16,1,2
48,4,2024-04-09,completed,2024-01-06 00:00:00,2024-10-07 00:00:00,Team_6,62,attended,12,5,21
49,1,2024-01-12,in_progress,2024-07-19 00:00:00,2024-10-17 00:00:00,Team_2,66,attended,12,7,40
50,5,2024-05-16,pending,2024-10-10 00:00:00,2024-07-22 00:00:00,Team_3,20,attended,7,10,60
